Ensembl Gene ID,average_dN/dS
ENSG00000007968,0.199899724
ENSG00000008018,0.168968692
ENSG00000008056,0.049001815
ENSG00000008083,0.149371376
ENSG00000008086,0.219593276
ENSG00000008118,0.075995379
ENSG00000008130,0.158815835
ENSG00000008196,0.033736488
ENSG00000008197,0.031024283
ENSG00000008226,0.370420813
ENSG00000008256,0.029117379
ENSG00000008277,0.242678883
ENSG00000008282,0.234905698
ENSG00000008294,0.080556157
ENSG00000008311,0.118509245
ENSG00000008323,0.264482782
ENSG00000008324,0.167817885
ENSG00000008382,0.185927407
ENSG00000008394,0.663393743
ENSG00000008405,0.117737048
ENSG00000008438,0.912616844
ENSG00000008513,0.12150892
ENSG00000008516,0.223307881
ENSG00000008735,0.116007092
ENSG00000008838,0.11399426
ENSG00000008853,0.07458013
ENSG00000008869,0.049697536
ENSG00000008952,0.360471661
ENSG00000008988,0.5
ENSG00000009307,0.072469754
ENSG00000009335,0.241831522
ENSG00000009413,0.285804941
ENSG00000009694,0.102405099
ENSG00000009709,0.133530262
ENSG00000009724,0.449634354
ENSG00000009765,0.541047856
ENSG00000009780,0.472850679
ENSG00000009790,0.483317002
ENSG00000009830,0.118247716
ENSG00000009844,0.137403591
ENSG00000009950,0.184897758
ENSG00000009954,0.138480101
ENSG00000010017,0.265063646
ENSG00000010030,0.271481655
ENSG00000010072,0.337447284
ENSG00000010165,0.174292497
ENSG00000010244,0.043478261
ENSG00000010256,0.162294412
ENSG00000010270,0.138801262
ENSG00000010278,0.112649121
ENSG00000010282,0.138444437
ENSG00000010292,0.356012673
ENSG00000010295,0.329776439
ENSG00000010310,0.275958029
ENSG00000010318,0.367454232
ENSG00000010319,0.086601166
ENSG00000010322,0.181877752
ENSG00000010327,0.188483277
ENSG00000010361,0.175951587
ENSG00000010379,0.09607438
ENSG00000010438,0.356834532
ENSG00000010539,0.264364316
ENSG00000010610,0.537982821
ENSG00000010626,0.369855945
ENSG00000010671,0.123412258
ENSG00000010704,0.440141204
ENSG00000010803,0.147250321
ENSG00000010810,0.070192078
ENSG00000010818,0.1635484
ENSG00000010932,0.254924269
ENSG00000011007,0.270054145
ENSG00000011009,1.099767353
ENSG00000011021,0.076081489
ENSG00000011028,0.073037291
ENSG00000011083,0.115223124
ENSG00000011105,0.052797659
ENSG00000011114,0.280639352
ENSG00000011132,0.17357972
ENSG00000011143,0.20037819
ENSG00000011198,0.166469844
ENSG00000011201,0.264684396
ENSG00000011243,0.11517154
ENSG00000011260,0.233802817
ENSG00000011275,0.19003528
ENSG00000011295,0.399703827
ENSG00000011304,0.11223794
ENSG00000011332,0.10355583
ENSG00000011376,0.178283385
ENSG00000011405,0.237808161
ENSG00000011422,0.334170854
ENSG00000011426,0.199766321
ENSG00000011454,0.151485
ENSG00000011465,0.202301651
ENSG00000011478,0.115151053
ENSG00000011485,0.034110468
ENSG00000011523,0.719011548
ENSG00000011566,0.177553551
ENSG00000011590,0.510830712
ENSG00000011600,0.536315181
ENSG00000011638,0.380248752
ENSG00000011677,0.059157066
ENSG00000012048,1.006779638
ENSG00000012061,0.143841516
ENSG00000012124,0.661584878
ENSG00000012174,0.021562127
ENSG00000012211,0.269320608
ENSG00000012223,0.522405102
ENSG00000012232,0.024559484
ENSG00000012504,0.315485623
ENSG00000012779,0.105997356
ENSG00000012822,0.328675856
ENSG00000012983,0.067939401
ENSG00000013016,0.041272442
ENSG00000013288,0.343439624
ENSG00000013293,0.087822296
ENSG00000013297,0.0983866
ENSG00000013306,0.319615069
ENSG00000013364,0.289749284
ENSG00000013374,0.285635777
ENSG00000013375,0.101767683
ENSG00000013392,0.245620915
ENSG00000013441,0.293304715
ENSG00000013503,0.011080332
ENSG00000013523,0.363731693
ENSG00000013561,0.101562878
ENSG00000013563,0.16464986
ENSG00000013583,0.081991022
ENSG00000013588,0.352298213
ENSG00000013619,0.513635748
ENSG00000013725,0.257600435
ENSG00000013810,0.705498649
ENSG00000014123,0.224380469
ENSG00000014138,0.29180672
ENSG00000014164,0.345692441
ENSG00000014216,0.05541704
ENSG00000014257,0.651599372
ENSG00000014824,0.100721397
ENSG00000014914,0.271648763
ENSG00000014919,0.173129466
ENSG00000015133,0.184195746
ENSG00000015153,0.085714286
ENSG00000015285,0.286025695
ENSG00000015413,0.226623878
ENSG00000015475,0.211043832
ENSG00000015520,0.190943118
ENSG00000015532,0.182050974
ENSG00000015592,0.245438392
ENSG00000015676,0.28104618
ENSG00000016082,0.139784946
ENSG00000016391,0.141000199
ENSG00000016402,0.293280266
ENSG00000016490,0.407052167
ENSG00000016602,0.495703178
ENSG00000016864,0.200671462
ENSG00000017260,0.359226497
ENSG00000017427,0.340089103
ENSG00000017483,0.189808295
ENSG00000017797,0.120186648
ENSG00000018189,0.350283528
ENSG00000018236,0.091932381
ENSG00000018280,0.218297625
ENSG00000018408,0.257910539
ENSG00000018510,0.237735807
ENSG00000018610,0
ENSG00000018699,0.252639328
ENSG00000018869,0.311707949
ENSG00000019102,0.222224215
ENSG00000019144,0.147120267
ENSG00000019169,0.691937843
ENSG00000019186,0.372995926
ENSG00000019505,0.057677997
ENSG00000019582,0.140147211
ENSG00000019991,0.243109015
ENSG00000019995,0.056942544
ENSG00000020129,0.021359223
ENSG00000020181,0.174754469
ENSG00000020256,0.098171093
ENSG00000020577,0.124033227
ENSG00000020633,0.106996791
ENSG00000020922,0.166974414
ENSG00000021300,0.118957637
ENSG00000021355,0.226376178
ENSG00000021461,0.339363029
ENSG00000021488,0.227650532
ENSG00000021574,0.379672299
ENSG00000021645,0.020723483
ENSG00000021762,0.079189687
ENSG00000021852,0.573113722
ENSG00000022277,0.212657306
ENSG00000022355,0.090486865
ENSG00000022567,0.268062488
ENSG00000022840,0.217980601
ENSG00000022976,0.831453558
ENSG00000023041,0.060065238
ENSG00000023191,0.161895181
ENSG00000023228,0.264265278
ENSG00000023287,0.217617613
ENSG00000023318,0.237232041
ENSG00000023330,0.094068265
ENSG00000023445,0.234102347
ENSG00000023516,0.506885652
ENSG00000023572,0.33108576
ENSG00000023608,0.324417791
ENSG00000023697,0.572013443
ENSG00000023734,0.100188824
ENSG00000023839,0.382799894
ENSG00000023892,0.108532819
ENSG00000023902,0.247970613
ENSG00000023909,0.257520786
ENSG00000024048,0.330666667
ENSG00000024422,0.026549642
ENSG00000024526,0.431257919
ENSG00000024862,0.525859165
ENSG00000025039,0.06
ENSG00000025156,0.107702714
ENSG00000025293,0.338941172
ENSG00000025423,0.914823822
ENSG00000025434,0.236366578
ENSG00000025708,0.17415649
ENSG00000025770,0.195590161
ENSG00000025772,0.227765598
ENSG00000025796,0.090452962
ENSG00000026025,0.288188776
ENSG00000026508,0.506579998
ENSG00000026559,0.003397508
ENSG00000026652,0.255895365
ENSG00000026751,0.792222582
ENSG00000027001,0.299293224
ENSG00000027075,0.150143072
ENSG00000027644,0.216993052
ENSG00000027697,0.355256832
ENSG00000027847,0.146403175
ENSG00000027869,0.434140294
ENSG00000028116,0.62336089
ENSG00000028137,0.16779019
ENSG00000028203,0.452564163
ENSG00000028277,0.147236547
ENSG00000028528,0.310624125
ENSG00000029153,0.32840794
ENSG00000029363,0.217882462
ENSG00000029364,0.085427343
ENSG00000029534,0.261856178
ENSG00000029559,0.352499894
ENSG00000029639,0.3558259
ENSG00000029993,0.096851489
ENSG00000030066,0.253129103
ENSG00000030110,0.267681721
ENSG00000030304,0.161268642
ENSG00000030419,0.109028621
ENSG00000030582,0.42326174
ENSG00000031003,0.173332251
ENSG00000031081,0.474999982
ENSG00000031691,0.520966376
ENSG00000031698,0.170226922
ENSG00000031823,0.148282536
ENSG00000032219,0.187309508
ENSG00000032389,0.172342195
ENSG00000032444,0.192035216
ENSG00000032742,0.158672233
ENSG00000033030,0.52379002
ENSG00000033050,0.172852501
ENSG00000033100,0.087400402
ENSG00000033122,0.071978598
ENSG00000033170,0.044713968
ENSG00000033178,0.210487602
ENSG00000033327,0.102193053
ENSG00000033627,0.167748864
ENSG00000033867,0.19025858
ENSG00000034053,0.16311692
ENSG00000034152,0.279768959
ENSG00000034239,0.153879543
ENSG00000034533,0.272276169
ENSG00000034677,0.197877653
ENSG00000034693,0.228743648
ENSG00000034971,0.198167287
ENSG00000035115,0.144230373
ENSG00000035403,0.056777722
ENSG00000035499,0.366065963
ENSG00000035664,0.070642479
ENSG00000035681,0.337991845
ENSG00000035687,0.363136972
ENSG00000035720,0.307917782
ENSG00000035862,0.10643743
ENSG00000035928,0.322135623
ENSG00000036054,0.279326104
ENSG00000036257,0.205627706
ENSG00000036448,0.171816175
ENSG00000036473,0.337245697
ENSG00000036530,0.069346979
ENSG00000036549,0.246140255
ENSG00000036565,0.289363169
ENSG00000036672,0.315204023
ENSG00000036828,0.089266285
ENSG00000037042,0.010588235
ENSG00000037280,0.115219141
ENSG00000037474,0.141373676
ENSG00000037637,0.158516666
ENSG00000037749,0.204863992
ENSG00000037757,0.276660999
ENSG00000037897,0.411001468
ENSG00000038002,0.567462002
ENSG00000038219,0.402043428
ENSG00000038274,0.050179211
ENSG00000038295,0.059790126
ENSG00000038358,0.102682356
ENSG00000038382,0.092110849
ENSG00000038427,0.46044819
ENSG00000038945,0.396185989
ENSG00000039068,0.240274465
ENSG00000039123,0.178141678
ENSG00000039139,0.239221635
ENSG00000039319,0.422668873
ENSG00000039523,0.456363542
ENSG00000039537,0.518871429
ENSG00000039560,0.231831337
ENSG00000039600,0.750643997
ENSG00000039650,0.124267574
ENSG00000039987,0.068541058
ENSG00000040199,0.413745604
ENSG00000040275,0.415441652
ENSG00000040341,0.253486716
ENSG00000040487,0.212443555
ENSG00000040531,0.170142457
ENSG00000040608,0.070011891
ENSG00000040633,0.123258589
ENSG00000040731,0.017229227
ENSG00000040933,0.034487927
ENSG00000041353,0.603339667
ENSG00000041357,0.137931034
ENSG00000041515,0.320240553
ENSG00000041802,0.425807888
ENSG00000041880,1.009020968
ENSG00000041982,0.207993393
ENSG00000041988,0.292347394
ENSG00000042088,0.38844423
ENSG00000042286,0.162660471
ENSG00000042317,1.39196435
ENSG00000042429,0.200557268
ENSG00000042445,0.326932027
ENSG00000042493,0.096840959
ENSG00000042781,0.430598874
ENSG00000042813,0.462471463
ENSG00000042832,0.471348368
ENSG00000042980,0.581756926
ENSG00000043039,0.297061836
ENSG00000043093,0.183856502
ENSG00000043143,0.14633933
ENSG00000043355,0.016582184
ENSG00000043462,0.121621622
ENSG00000043514,0.366785988
ENSG00000043591,0.090940635
ENSG00000044012,0.316627751
ENSG00000044446,0.271258662
ENSG00000044459,0.515401528
ENSG00000044524,0.106893159
ENSG00000044574,0.094474153
ENSG00000046604,0.289813463
ENSG00000046647,0.37320392
ENSG00000046651,0.476507089
ENSG00000046653,0.61802974
ENSG00000046774,1.156289039
ENSG00000046889,0.072902143
ENSG00000047056,0.068312768
ENSG00000047188,0.181126981
ENSG00000047230,0.127427347
ENSG00000047249,0.139737827
ENSG00000047315,0
ENSG00000047365,0.323596443
ENSG00000047410,0.306185969
ENSG00000047457,0.27619011
ENSG00000047578,0.342453747
ENSG00000047579,0.245831038
ENSG00000047597,0.178697018
ENSG00000047634,1.720795892
ENSG00000047644,0.24113191
ENSG00000047648,0.271252564
ENSG00000047662,0.393193612
ENSG00000047849,0.531146262
ENSG00000047936,0.324668418
ENSG00000048028,0.140054346
ENSG00000048052,0.127736508
ENSG00000048140,0.151067941
ENSG00000048162,0.506934481
ENSG00000048342,0.289275058
ENSG00000048392,0.19492977
ENSG00000048405,0.054898685
ENSG00000048462,0.437745091
ENSG00000048471,0.136490558
ENSG00000048544,0.205843816
ENSG00000048545,0.071756795
ENSG00000048649,0.26635235
ENSG00000048707,0.172843634
ENSG00000048828,0.097702536
ENSG00000048991,0.276551508
ENSG00000049089,0.511412293
ENSG00000049130,0.32625121
ENSG00000049167,0.148296738
ENSG00000049192,0.094427817
ENSG00000049239,0.173540378
ENSG00000049245,0.23138642
ENSG00000049246,0.864783047
ENSG00000049247,0.866164411
ENSG00000049249,0.474836856
ENSG00000049323,0.188139999
ENSG00000049449,0.225660622
ENSG00000049540,0.689031537
ENSG00000049541,0.14917887
ENSG00000049618,0.248023966
ENSG00000049656,0.213667223
ENSG00000049759,0.233181676
ENSG00000049768,0.37262804
ENSG00000049769,0.202121575
ENSG00000049860,0.490920181
ENSG00000049883,1.216511268
ENSG00000050030,0.242557406
ENSG00000050130,0.344309727
ENSG00000050165,0.227656037
ENSG00000050327,0.478984494
ENSG00000050344,0.531250735
ENSG00000050393,0.493788117
ENSG00000050405,0.463193407
ENSG00000050426,0.337964881
ENSG00000050438,0.105158741
ENSG00000050555,0.22245504
ENSG00000050628,0.502516697
ENSG00000050730,0.590972347
ENSG00000050748,0.215117538
ENSG00000050767,0.526658025
ENSG00000050820,0.154514478
ENSG00000051009,0.218487395
ENSG00000051108,0.18141951
ENSG00000051128,0.109885428
ENSG00000051180,0.545378151
ENSG00000051341,0.453608385
ENSG00000051382,0.070053992
ENSG00000051523,0.093597851
ENSG00000051596,0.081207603
ENSG00000051620,0.312582842
ENSG00000052126,0.273575938
ENSG00000052344,0.266493842
ENSG00000052723,0.035834728
ENSG00000052749,0.24283424
ENSG00000052795,0.443967002
ENSG00000052802,0.086960583
ENSG00000052841,0.326851014
ENSG00000052850,0.148235392
ENSG00000053108,0.17663967
ENSG00000053254,0.037219872
ENSG00000053328,0.62532002
ENSG00000053371,0.232413976
ENSG00000053438,0.161849711
ENSG00000053501,0.119977776
ENSG00000053524,0.36701239
ENSG00000053702,0.822728706
ENSG00000053747,0.317865236
ENSG00000053770,0.127154906
ENSG00000053900,0.077492829
ENSG00000053918,0.073342586
ENSG00000054116,0.075720062
ENSG00000054118,0.127881088
ENSG00000054148,0.137126866
ENSG00000054179,0.192614525
ENSG00000054267,0.172152805
ENSG00000054277,0.08932167
ENSG00000054282,0.384406877
ENSG00000054392,0.417305131
ENSG00000054523,0.199707552
ENSG00000054611,0.220185741
ENSG00000054654,0.540081222
ENSG00000054690,0.435784905
ENSG00000054793,0.055850848
ENSG00000054796,0.314990818
ENSG00000054803,0.043956044
ENSG00000054938,0.244676296
ENSG00000054965,0.079277814
ENSG00000054967,0.300519478
ENSG00000054983,0.153992602
ENSG00000055044,0.172479912
ENSG00000055118,0.048519508
ENSG00000055130,0.269716088
ENSG00000055147,0.518066488
ENSG00000055163,0.02568816
ENSG00000055208,0.05084795
ENSG00000055211,0.292848939
ENSG00000055332,0.891138382
ENSG00000055483,0.373854399
ENSG00000055609,0.321639156
ENSG00000055732,0.250316228
ENSG00000055813,0.212173914
ENSG00000055917,0.106909916
ENSG00000055950,0.352214583
ENSG00000055955,0.416756722
ENSG00000055957,0.292160523
ENSG00000056050,0.418693229
ENSG00000056097,0.209061746
ENSG00000056277,0.551999732
ENSG00000056291,0.626043605
ENSG00000056487,0.469029797
ENSG00000056558,0.105124371
ENSG00000056586,0.201492618
ENSG00000056736,0.54203583
ENSG00000056972,0.574184945
ENSG00000056998,0.298088642
ENSG00000057019,0.321232444
ENSG00000057252,0.143228799
ENSG00000057294,0.285653051
ENSG00000057468,0.296535534
ENSG00000057593,0.227181919
ENSG00000057608,0.041456234
ENSG00000057657,0.361552409
ENSG00000057663,0.273924051
ENSG00000057704,0.081457162
ENSG00000057757,0.062874251
ENSG00000057935,0.31612602
ENSG00000058056,0.117756145
ENSG00000058063,0.160199327
ENSG00000058085,0.530954945
ENSG00000058091,0.325847352
ENSG00000058262,0.152719897
ENSG00000058272,0.301487534
ENSG00000058335,0.122019971
ENSG00000058404,0.081967213
ENSG00000058453,0.128696071
ENSG00000058600,0.226606451
ENSG00000058668,0.162769536
ENSG00000058673,0.36892928
ENSG00000058729,0.218695902
ENSG00000058804,0.404037497
ENSG00000058866,0.279068868
ENSG00000059122,0.201395755
ENSG00000059377,0.272686087
ENSG00000059378,0.213955802
ENSG00000059573,0.269217293
ENSG00000059588,0.257905441
ENSG00000059691,0.51207058
ENSG00000059728,0.062409632
ENSG00000059758,0.522368421
ENSG00000059769,0.101167368
ENSG00000059915,0.319174246
ENSG00000060069,0.157432952
ENSG00000060138,0.540461754
ENSG00000060140,0.53143596
ENSG00000060237,0.309777161
ENSG00000060339,0.030873178
ENSG00000060491,0.390780796
ENSG00000060558,0.096632606
ENSG00000060566,0.325393509
ENSG00000060642,0.498859028
ENSG00000060656,0.089886073
ENSG00000060709,0.191119185
ENSG00000060718,0.116544404
ENSG00000060749,0.335929367
ENSG00000060762,0.171449517
ENSG00000060971,0.072566544
ENSG00000061273,0.185256448
ENSG00000061337,0.066138444
ENSG00000061455,0.178976961
ENSG00000061492,0.364507411
ENSG00000061656,0.260778167
ENSG00000061794,0.565314009
ENSG00000061918,0.081140351
ENSG00000061938,0.121376616
ENSG00000061987,0.100224275
ENSG00000062038,0.190081858
ENSG00000062096,0.902542119
ENSG00000062194,0.075781219
ENSG00000062282,0.207703517
ENSG00000062485,0.146210163
ENSG00000062524,0.223596849
ENSG00000062582,0.411774532
ENSG00000062598,0.032633296
ENSG00000062650,0.149059614
ENSG00000062716,0.203238609
ENSG00000062725,0.034833555
ENSG00000062822,0.078512311
ENSG00000063015,0.504798362
ENSG00000063046,0.18532197
ENSG00000063127,0.795735051
ENSG00000063169,0.20844829
ENSG00000063176,0.259169631
ENSG00000063180,0.06689609
ENSG00000063241,0.291737527
ENSG00000063244,0.213903636
ENSG00000063245,0.116097824
ENSG00000063322,0.201099055
ENSG00000063438,0.504816434
ENSG00000063515,0.192052924
ENSG00000063587,0.312623669
ENSG00000063601,0.206396681
ENSG00000063660,0.094236861
ENSG00000063761,0.108160251
ENSG00000063854,0.262931034
ENSG00000063978,0.090306795
ENSG00000064012,0.387301172
ENSG00000064042,0.26288863
ENSG00000064102,0.01875
ENSG00000064115,0.280727268
ENSG00000064199,1.430324101
ENSG00000064201,0.523831988
ENSG00000064205,0.207504848
ENSG00000064218,0.276282034
ENSG00000064225,0.353709711
ENSG00000064270,0.189549517
ENSG00000064300,0.145899571
ENSG00000064309,0.47949402
ENSG00000064313,0.125410044
ENSG00000064393,0.060803009
ENSG00000064419,0.014409222
ENSG00000064490,0.257995184
ENSG00000064545,0.181071026
ENSG00000064547,0.062393671
ENSG00000064601,0.091268708
ENSG00000064607,0.338750999
ENSG00000064651,0.095458736
ENSG00000064652,0.328944788
ENSG00000064655,0.239133649
ENSG00000064687,0.249351657
ENSG00000064692,0.253042109
ENSG00000064703,0.489833366
ENSG00000064726,0.022965379
ENSG00000064787,0.445653164
ENSG00000064835,0.060073038
ENSG00000064886,0.314384236
ENSG00000064932,0.127704564
ENSG00000064933,0.663656226
ENSG00000064961,0.168224546
ENSG00000064989,0.053953124
ENSG00000064995,0.544080417
ENSG00000064999,0.200493215
ENSG00000065000,0.10475186
ENSG00000065029,0.349491126
ENSG00000065054,0.257259254
ENSG00000065057,0.173447683
ENSG00000065060,0.292469332
ENSG00000065150,0.032782984
ENSG00000065154,0.171128519
ENSG00000065183,0.149687
ENSG00000065243,0.239920195
ENSG00000065268,0.07168625
ENSG00000065308,0.148465704
ENSG00000065320,0.034883721
ENSG00000065325,0.231249803
ENSG00000065328,0.234983047
ENSG00000065357,0.091112645
ENSG00000065361,0.16180139
ENSG00000065371,0.475247525
ENSG00000065413,0.228393187
ENSG00000065427,0.17657551
ENSG00000065457,0.228674717
ENSG00000065485,0.232510545
ENSG00000065491,0.464027155
ENSG00000065518,1.374644512
ENSG00000065526,0.243486669
ENSG00000065534,0.399341963
ENSG00000065548,0.108117618
ENSG00000065559,0.295833333
ENSG00000065609,0.170663453
ENSG00000065613,0.314087095
ENSG00000065615,0.888055556
ENSG00000065618,0.363204549
ENSG00000065621,0.473521101
ENSG00000065675,0.093637191
ENSG00000065717,0.102666549
ENSG00000065802,0.04287977
ENSG00000065809,0.339023818
ENSG00000065833,0.340196421
ENSG00000065882,0.288062734
ENSG00000065883,0.120468358
ENSG00000065911,0.20946825
ENSG00000065970,0.39765297
ENSG00000065989,0.252295092
ENSG00000066044,0.061503417
ENSG00000066056,0.109030942
ENSG00000066084,0.110299965
ENSG00000066135,0.286483539
ENSG00000066185,0.276321785
ENSG00000066230,0.101934169
ENSG00000066248,0.180725478
ENSG00000066279,0.537126156
ENSG00000066294,0.72599548
ENSG00000066322,0.247114905
ENSG00000066336,0.017930655
ENSG00000066379,0.521304483
ENSG00000066405,0.104938272
ENSG00000066422,0.133578815
ENSG00000066455,0.335751711
ENSG00000066468,0.139925335
ENSG00000066557,0.287047708
ENSG00000066583,0.193044088
ENSG00000066651,0.114831765
ENSG00000066654,0.269149666
ENSG00000066735,0.339207034
ENSG00000066739,0.27344609
ENSG00000066777,0.083687188
ENSG00000066827,0.205381466
ENSG00000066855,0.251324483
ENSG00000066923,0.488196415
ENSG00000066926,0.293092826
ENSG00000066933,0.275109287
ENSG00000067048,0.892857143
ENSG00000067057,0.073472099
ENSG00000067064,0.300356328
ENSG00000067066,0.653769967
ENSG00000067082,0.237413476
ENSG00000067113,0.219135802
ENSG00000067141,0.155409029
ENSG00000067167,0.067926955
ENSG00000067177,0.173175482
ENSG00000067182,0.284868265
ENSG00000067191,0.073414372
ENSG00000067221,0.12608946
ENSG00000067248,0.188114721
ENSG00000067334,0.235517113
ENSG00000067365,0.287997218
ENSG00000067369,0.383117792
ENSG00000067445,0.62051352
ENSG00000067533,0.764863431
ENSG00000067606,0.217446593
ENSG00000067646,0.594936709
ENSG00000067704,0.148493432
ENSG00000067715,0.238181818
ENSG00000067829,0.14881441
ENSG00000067836,0.043713016
ENSG00000067840,0.232410631
ENSG00000067842,0.172711439
ENSG00000067900,0.031128405
ENSG00000067992,0.235512919
ENSG00000068001,0.110242511
ENSG00000068028,0.093388248
ENSG00000068078,0.020855057
ENSG00000068079,0.398338693
ENSG00000068097,0.351777388
ENSG00000068120,0.15061859
ENSG00000068137,0.301083337
ENSG00000068305,0.186602871
ENSG00000068308,0.081153544
ENSG00000068323,0.219890806
ENSG00000068354,0.130551035
ENSG00000068366,0.099030381
ENSG00000068383,0.260489403
ENSG00000068394,0.483516535
ENSG00000068400,0.233621755
ENSG00000068438,0.366999871
ENSG00000068489,0.568878887
ENSG00000068650,0.150355257
ENSG00000068654,0.294956946
ENSG00000068697,0.06351551
ENSG00000068724,0.255935994
ENSG00000068745,0.805933211
ENSG00000068784,0.31927246
ENSG00000068796,0.067845897
ENSG00000068831,0.040506409
